01jan, 34C1, 15L0, 63O0, 32T2f, 45J1, 21X3f, 14Z0, 51P1f
02jan, 34Z0f, 21P0f, 61T3, 45J1, 15L0, 54C3, 41O0, 12X2f
03jan, 21P0, 34Z0f, 61T3, 45J1, 15L0, 54C3, 41O0, 12X2f
04jan, 34Z0f, 61T3, 15L0, 21O0, 45J1, 41P0f, 54C3, 12X2f
05jan, 34Z0f, 61T3, 15L0, 21O0, 45J1, 41P0, 54C3, 12X2f
06jan, 34Z0f, 52T1, 73P2, 21O0, 45J1, 41C1, 15L0, 12X2f
07jan, 34Z0f, 63P2f, 52T1, 21O0, 45J1, 41C1, 15L0, 12X2f
08jan, 25J1, 51Z0, 21X1, 64O0, 12P0f, 32T3, 43C2, 15L0
09jan, 12P0, 51Z0, 21X1, 25J1, 64O0, 32T3, 43C2, 15L0
10jan, 12L1, 51Z0, 21X1, 64O0, 15C0, 26T0, 44P1f, 23J1f
11jan, 54P2, 12L1, 51Z0, 21X1, 64O0, 15C0, 34T1f, 23J1f
12jan, 12L1, 51Z0, 21X1, 64O0, 15C0, 44P2f, 34T1f, 23J1f
13jan, 12L1, 51Z0, 21X1, 44O0, 15C0, 34T1f, 74P2, 23J1f
14jan, 12L1, 51Z0, 21X1, 44O0, 15C0, 34T1f, 64P2f, 23J1f
15jan, 12L1, 44C2, 51Z0, 21X1, 64O0, 25P2, 34T3f, 23J1f
16jan, 12L1, 44C2, 51Z0, 21X1, 64O0, 34T3f, 15P2f, 23J1f
17jan, 34P1, 12L1, 51Z0, 21X1, 64O0, 15C0, 26T0, 23J1f
18jan, 12L1, 44C2, 51Z0, 21X1, 34T1, 64O0, 15P2f, 23J1f
19jan, 12L1, 51Z0, 21X1, 34T1, 64O0, 15P2f, 23J1f, 44C0
20jan, 34T3, 12L1, 44P0f, 51Z0, 21X1, 15O0, 23J1f, 64C2
21jan, 34T3, 12L1, 44P0f, 64C0, 51Z0, 21X1, 15O0, 23J1f
22jan, 34T3, 12L1, 44P0f, 51Z0, 21X1, 64O0, 23J1f, 15C2
23jan, 34T3, 12L1, 44P0f, 51Z0, 21X1, 64O0, 15C0, 23J1f
24jan, 12L1, 44C2, 51Z0, 21X1, 64O0, 34T2, 16P3, 23J1f
25jan, 12L1, 44P0f, 51Z0, 21X1, 64O0, 15C0, 34T1f, 23J1f
26jan, 12L1, 51Z0, 21X1, 64O0, 15C0, 34T1f, 44P0, 23J1f
27jan, 12L1, 51Z0, 21X1, 44O0, 15C0, 34T1f, 64P0f, 23J1f
28jan, 12L1, 51Z0, 21X1, 44O0, 64P0, 15C0, 34T1f, 23J1f
29jan, 15P0f, 12L1, 44C2, 51Z0, 21X1, 64O0, 34T3f, 23J1f
30jan, 15P0, 12L1, 44C2, 51Z0, 21X1, 64O0, 34T3f, 23J1f
31jan, 12L1, 44C2, 51Z0, 21X1, 64O0, 34T2, 16P3f, 23J1f
01feb, 11C3, 41X2, 75J3f, 51Z0, 52L0, 23P2, 16O1, 44T2f
02feb, 11C3, 41X2, 75J3f, 51Z0, 52L0, 13P2f, 16O1, 44T2f
03feb, 11C3, 13P0f, 34Z0f, 75J3f, 64X1f, 41O1, 15L0, 43T0
04feb, 11C3, 55P1f, 35Z0f, 63J2f, 41O1, 24X2, 13L1, 53T2
05feb, 11C3, 55P1f, 35Z0f, 63J2f, 43T2f, 41O1, 24X2, 13L1
06feb, 11C3, 43P3, 24Z0f, 73J0, 41O1, 35T0f, 13L1, 36X1f
07feb, 11C3, 14J0f, 25P0f, 74L3, 13T0, 53X1f, 64Z1, 41O1
08feb, 11C3, 15P0, 34J0, 74L3, 13T0, 64Z1, 41O1, 53X3f
09feb, 11C3, 13T0f, 14J0f, 25P0f, 74L3, 41O1, 64Z1, 53X3f
10feb, 11C3, 14J0f, 25P0f, 74L3, 13T0, 64Z1, 41O1, 53X3f
11feb, 63J2f, 31T1, 64L3, 16P3, 43C2, 11X2f, 41O1, 14Z1f
12feb, 63J2f, 31T1, 64L3, 16P3, 43C0, 11X2f, 41O1, 14Z1f
13feb, 31T1, 16P3, 43J2, 11X2f, 41O1, 54L0, 63C2, 14Z1f
14feb, 31T1, 63C0, 16P3, 43J2, 11X2f, 41O1, 54L0, 14Z1f
15feb, 11C3, 24Z0f, 74L3, 13J1f, 41O1, 53P3f, 36X1f, 44T2f
16feb, 11C3, 13X1, 14J2, 35P2, 74L3, 64Z1, 41O1, 43T0
17feb, 11C3, 13X1, 14J2, 25P2f, 74L3, 64Z1, 41O1, 43T0
18feb, 31X2, 43L2, 44C2, 11T3f, 73J0, 41O1, 26P1f, 34Z1
19feb, 31X2, 43L2, 34Z1, 11T3f, 73J0, 41O1, 26P1f, 44C0
20feb, 31X2, 53L1, 11T3f, 43J0f, 41O1, 26P1f, 34Z1, 64C2
21feb, 31X2, 53L1, 64C0, 11T3f, 43J0f, 41O1, 26P1f, 34Z1
22feb, 31X2, 43L2, 55Z1, 11T3f, 73J0, 41O1, 34P3f, 15C2
23feb, 31X2, 43L2, 55Z1, 11T3f, 73J0, 41O1, 15C0, 34P3f
24feb, 11C3, 13X0f, 54P1, 23Z0, 43J1f, 41O1, 15L0, 55T2f
25feb, 11C3, 13X1, 15L0, 73J0, 14Z0, 41O1, 43P1, 35T0f
26feb, 11C3, 13X1, 15L0, 73J0, 14Z0, 41O1, 43P1, 35T0
27feb, 11C3, 13X1, 25L1, 55Z1, 14J2, 64P0f, 41O1, 43T0
28feb, 11C3, 13X1, 25L1, 55Z1, 14J2, 64P0, 41O1, 43T0
29feb, 11C3, 25L1, 55Z1, 63J2f, 53X0f, 41O1, 23P1, 13T3f
01mar, 14T3, 63J2f, 32Z1f, 25C2, 64L3, 11P0f, 24X1, 41O1
02mar, 14T3, 11P0, 63J2f, 32Z1f, 25C2, 64L3, 24X1, 41O1
03mar, 24J1, 14T3, 36X3f, 11O0, 53L2, 32C2, 54Z0, 41P1
04mar, 32C0, 24J1, 14T3, 36X3f, 11O0, 53L2, 54Z0, 41P1
05mar, 54L2, 51Z0, 45P1, 11C0, 36X1f, 22J2f, 41T3f, 14O0
06mar, 52Z0f, 45P1, 14O0, 11C0, 41L1, 22J2f, 36X1f, 73T1
07mar, 43Z0, 51J2f, 74L3, 14O0, 11C0, 33P2f, 36X1f, 41T2
08mar, 51Z0, 33O1, 74L3, 11C0, 64J3f, 24P2, 36X1f, 41T2
09mar, 51Z0, 33O1, 14P2f, 74L3, 11C0, 64J3f, 36X1f, 41T2
10mar, 33P1, 51Z0, 74L3, 14O0, 11C0, 64J3f, 36X1f, 41T2
11mar, 54P2, 33L1, 51Z0, 24X2f, 64O0, 14J0f, 11C0, 41T2
12mar, 33L1, 51Z0, 24X2f, 64O0, 14J0f, 44P2f, 11C0, 41T2
13mar, 33L1, 51Z0, 24X2f, 44O0, 14J0f, 11C0, 74P2, 41T2
14mar, 33L1, 51Z0, 24X2f, 44O0, 14J0f, 11C0, 64P2f, 41T2
15mar, 51Z0, 64O0, 25X3, 33L2, 16P3, 11C0, 14J3, 41T2
16mar, 33P1, 51Z0, 64O0, 11C0, 14X1, 55J3f, 15L0, 41T2
17mar, 53P2, 25J1, 51Z0, 64O0, 33X1f, 11C0, 15L0, 41T2
18mar, 44C2, 33L1, 51Z0, 11J2, 64O0, 26P1f, 23X2, 41T2
19mar, 33L1, 51Z0, 11J2, 64O0, 26P1f, 44C0, 23X2, 41T2
20mar, 33L1, 51Z0, 11J2, 44O0, 64C2, 26P1f, 23X2, 41T2
21mar, 33L1, 51Z0, 64C0, 11J2, 44O0, 26P1f, 23X2, 41T2
22mar, 51Z0, 33X0f, 64O0, 43J2f, 11C0, 35L3, 14P0f, 41T2
23mar, 51Z0, 33X0f, 14P0, 64O0, 43J2f, 11C0, 35L3, 41T2
24mar, 51Z0, 14J1f, 64O0, 33L2, 16P3, 25X1, 11C0, 41T2
25mar, 44P0f, 33L1, 51Z0, 24X2f, 64O0, 14J0f, 11C0, 41T2
26mar, 33L1, 51Z0, 24X2f, 64O0, 14J0f, 11C0, 44P0, 41T2
27mar, 33L1, 51Z0, 24X2f, 44O0, 14J0f, 11C0, 64P0f, 41T2
28mar, 33L1, 51Z0, 24X2f, 44O0, 14J0f, 64P0, 11C0, 41T2
29mar, 33L1, 51Z0, 36X3f, 44J1f, 14O0, 11C0, 55P1, 41T2
30mar, 35P0, 14T3, 24J1f, 74L3, 11C0, 63Z0f, 22X3, 41O1
31mar, 14J0f, 74L3, 24T0f, 25P3, 11C0, 63Z0f, 22X3, 41O1
01apr, 31T3, 51Z0, 74L3, 11P0f, 64J3f, 42C2, 36X1f, 14O0
02apr, 31T3, 51Z0, 11P0, 74L3, 64J3f, 42C2, 36X1f, 14O0
03apr, 51Z0, 43P2, 53T3, 64C2, 11L1, 22J1f, 36X1f, 14O0
04apr, 51Z0, 53T3, 64C2, 11L1, 22J1f, 33P2f, 36X1f, 14O0
05apr, 44O1, 73J0, 22Z0f, 26T0, 11L1, 51P0f, 42X0, 15C0
06apr, 44O1, 73J0, 22Z0f, 26T0, 11L1, 51P0, 42X0, 15C0
07apr, 51O0, 44J1f, 22Z0f, 26T0, 11L1, 55P1, 42X0, 15C0
08apr, 52J0, 51Z0, 64O0, 26T0, 11L1, 42X2, 22P0, 15C0
09apr, 52J0, 12P0, 51Z0, 64O0, 26T0, 42X2, 11L2, 15C0
10apr, 51Z0, 22J3, 64O0, 26T0, 23X3f, 11L1, 44P1f, 15C0
11apr, 54P2, 51Z0, 22J3, 64O0, 23X3f, 11L1, 34T1f, 15C0
12apr, 51Z0, 22J3, 64O0, 23X3f, 44P2f, 11L1, 34T1f, 15C0
13apr, 44C2, 51Z0, 22J3, 15O0, 23X3f, 11L1, 34T3f, 74P2
14apr, 44C2, 51Z0, 15O0, 22J3, 23X3f, 11L1, 34T3f, 64P2f
15apr, 44C2, 51Z0, 22J3, 64O0, 25P2, 23X3f, 11L1, 34T3f
16apr, 44C2, 51Z0, 22J3, 64O0, 23X3f, 11L1, 34T3f, 15P2f
17apr, 34P1, 51Z0, 22J3, 64O0, 26T0, 23X3f, 11L1, 15C0
18apr, 44C2, 51Z0, 34T1, 22J3, 64O0, 23X3f, 11L1, 15P2f
19apr, 51Z0, 34T1, 22J3, 64O0, 23X3f, 11L1, 15P2f, 44C0
20apr, 34T3, 44P0f, 51Z0, 15O0, 22J3, 23X3f, 11L1, 64C2
21apr, 34T3, 44P0f, 64C0, 51Z0, 15O0, 22J3, 23X3f, 11L1
22apr, 15C2, 34T3, 44P0f, 51Z0, 22J3, 64O0, 23X3f, 11L1
23apr, 34T3, 44P0f, 51Z0, 22J3, 64O0, 23X3f, 11L1, 15C0
24apr, 44C2, 51Z0, 22J3, 64O0, 34T2, 16P3, 23X3f, 11L1
25apr, 44P0f, 51Z0, 22J3, 64O0, 23X3f, 11L1, 34T1f, 15C0
26apr, 51Z0, 22J3, 64O0, 23X3f, 11L1, 34T1f, 44P0, 15C0
27apr, 51Z0, 22J3, 44O0, 23X3f, 11L1, 34T1f, 64P0f, 15C0
28apr, 51Z0, 22J3, 44O0, 64P0, 23X3f, 11L1, 34T1f, 15C0
29apr, 15P0f, 44C2, 51Z0, 22J3, 64O0, 23X3f, 11L1, 34T3f
30apr, 15P0, 44C2, 51Z0, 22J3, 64O0, 23X3f, 11L1, 34T3f
01may, 42P2, 74L3, 12C2, 63Z0f, 16O1, 61X0, 15J3, 11T0f
02may, 42P2, 12C0, 74L3, 63Z0f, 16O1, 61X0, 15J3, 11T0f
03may, 11T0, 74L3, 32C2, 12P2f, 63Z0f, 16O1, 61X0, 15J3
04may, 32C0, 11T0, 74L3, 63Z0f, 12P2f, 16O1, 61X0, 15J3
05may, 61Z1, 75J3f, 63P1f, 11T0, 35L3, 12C3, 34X3, 14O0
06may, 61Z1, 75J3f, 53C3, 14O0, 12P3, 35L3, 34X3, 11T0f
07may, 61Z1, 75J3f, 11T0, 53P3, 35L3, 12C3, 34X3, 14O0
08may, 61Z1, 75J3f, 53O1, 11T0, 35L3, 24P2, 12C3, 34X3
09may, 61Z1, 75J3f, 53O1, 11T0, 14P2f, 35L3, 12C3, 34X3
10may, 61Z1, 64P1f, 11T0, 45J1, 35L3, 12C3, 53X3f, 14O0
11may, 61Z1, 34J1, 11T0, 74L3, 53P3f, 12C3, 36X1f, 14O0
12may, 61Z1, 53P1, 75J3f, 11T0, 35L3, 12C3, 34X3, 14O0
13may, 61Z1, 53C1, 75J3f, 14O0, 12P3, 35L3, 34X3, 11T0f
14may, 61Z1, 75J3f, 11T0, 35L3, 53P3f, 12C3, 34X3, 14O0
15may, 61Z1, 75J3f, 53O1, 14C2, 12P3, 35L3, 34X3, 11T0f
16may, 61Z1, 75J3f, 53O1, 14C0, 12P3, 35L3, 34X3, 11T0f
17may, 43J3f, 15L0, 25C3, 55O1, 12P3, 42Z0, 61X2f, 11T0f
18may, 43J3f, 11T0, 55O1, 25P3, 15L0, 42Z0, 12C3, 61X2f
19may, 43J3f, 65P1f, 11T0, 25O1, 15L0, 42Z0, 12C3, 61X2f
20may, 43J3f, 12P3, 25O1, 55C3, 15L0, 42Z0, 61X2f, 11T0f
21may, 43J3f, 11T0, 25O1, 15L0, 42Z0, 12C3, 61X2f, 55P3
22may, 75J3f, 11T0, 14O1, 43L0, 42Z0, 12C3, 61X2f, 26P1f
23may, 75J3f, 16C3, 14O1, 43L0, 12P3, 42Z0, 61X2f, 11T0f
24may, 75J3f, 11T0, 14O1, 16P3, 43L0, 42Z0, 12C3, 61X2f
25may, 43J3f, 11T0, 55O1, 15L0, 42Z0, 12C3, 61X2f, 25P3f
26may, 43J3f, 11T0, 55P1, 25O1, 15L0, 42Z0, 12C3, 61X2f
27may, 61Z1, 53L1, 14J1f, 11T0, 25X1, 64P0f, 12C3, 16O1
