01jan, 45J1, 32T2f, 51P1f, 63O0, 21X3f, 34C1, 14Z0, 15L0
02jan, 45J1, 61T3, 41O0, 21P0f, 12X2f, 34Z0f, 54C3, 15L0
03jan, 45J1, 61T3, 12X2f, 34Z0f, 54C3, 21P0, 41O0, 15L0
04jan, 45J1, 61T3, 41P0f, 12X2f, 21O0, 34Z0f, 54C3, 15L0
05jan, 45J1, 61T3, 12X2f, 34Z0f, 21O0, 41P0, 54C3, 15L0
06jan, 73P2, 52T1, 45J1, 12X2f, 34Z0f, 21O0, 41C1, 15L0
07jan, 52T1, 45J1, 12X2f, 63P2f, 21O0, 34Z0f, 41C1, 15L0
08jan, 25J1, 43C2, 12P0f, 51Z0, 32T3, 64O0, 15L0, 21X1
09jan, 12P0, 43C2, 25J1, 51Z0, 32T3, 64O0, 15L0, 21X1
10jan, 44P1f, 26T0, 51Z0, 23J1f, 12L1, 64O0, 15C0, 21X1
11jan, 34T1f, 51Z0, 54P2, 23J1f, 12L1, 64O0, 15C0, 21X1
12jan, 34T1f, 51Z0, 23J1f, 12L1, 64O0, 15C0, 21X1, 44P2f
13jan, 34T1f, 74P2, 44O0, 51Z0, 23J1f, 12L1, 15C0, 21X1
14jan, 34T1f, 44O0, 51Z0, 64P2f, 23J1f, 12L1, 15C0, 21X1
15jan, 34T3f, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1, 25P2
16jan, 34T3f, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1, 15P2f
17jan, 26T0, 34P1, 51Z0, 23J1f, 12L1, 64O0, 15C0, 21X1
18jan, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1, 15P2f, 34T1
19jan, 51Z0, 23J1f, 12L1, 64O0, 21X1, 15P2f, 44C0, 34T1
20jan, 44P0f, 34T3, 51Z0, 23J1f, 12L1, 64C2, 15O0, 21X1
21jan, 44P0f, 34T3, 51Z0, 23J1f, 12L1, 64C0, 15O0, 21X1
22jan, 44P0f, 34T3, 15C2, 51Z0, 23J1f, 12L1, 64O0, 21X1
23jan, 44P0f, 34T3, 51Z0, 23J1f, 12L1, 64O0, 21X1, 15C0
24jan, 34T2, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1, 16P3
25jan, 34T1f, 44P0f, 51Z0, 23J1f, 12L1, 64O0, 15C0, 21X1
26jan, 34T1f, 51Z0, 23J1f, 12L1, 64O0, 21X1, 15C0, 44P0
27jan, 34T1f, 44O0, 51Z0, 23J1f, 12L1, 15C0, 21X1, 64P0f
28jan, 34T1f, 44O0, 51Z0, 23J1f, 12L1, 64P0, 15C0, 21X1
29jan, 34T3f, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1, 15P0f
30jan, 15P0, 34T3f, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1
31jan, 16P3f, 34T2, 44C2, 51Z0, 23J1f, 12L1, 64O0, 21X1
01feb, 11C3, 16O1, 52L0, 51Z0, 75J3f, 44T2f, 23P2, 41X2
02feb, 11C3, 13P2f, 16O1, 52L0, 51Z0, 75J3f, 44T2f, 41X2
03feb, 64X1f, 13P0f, 11C3, 43T0, 34Z0f, 41O1, 75J3f, 15L0
04feb, 55P1f, 11C3, 13L1, 41O1, 24X2, 35Z0f, 53T2, 63J2f
05feb, 55P1f, 11C3, 43T2f, 13L1, 41O1, 24X2, 35Z0f, 63J2f
06feb, 11C3, 36X1f, 13L1, 43P3, 73J0, 41O1, 24Z0f, 35T0f
07feb, 11C3, 53X1f, 74L3, 41O1, 14J0f, 64Z1, 25P0f, 13T0
08feb, 15P0, 11C3, 53X3f, 74L3, 41O1, 64Z1, 13T0, 34J0
09feb, 53X3f, 11C3, 74L3, 41O1, 14J0f, 64Z1, 25P0f, 13T0f
10feb, 11C3, 53X3f, 74L3, 41O1, 14J0f, 64Z1, 25P0f, 13T0
11feb, 11X2f, 43C2, 14Z1f, 64L3, 41O1, 31T1, 16P3, 63J2f
12feb, 11X2f, 14Z1f, 64L3, 41O1, 31T1, 43C0, 16P3, 63J2f
13feb, 11X2f, 14Z1f, 41O1, 31T1, 63C2, 54L0, 43J2, 16P3
14feb, 11X2f, 14Z1f, 41O1, 31T1, 63C0, 54L0, 43J2, 16P3
15feb, 11C3, 36X1f, 74L3, 41O1, 13J1f, 24Z0f, 53P3f, 44T2f
16feb, 14J2, 11C3, 43T0, 74L3, 13X1, 41O1, 64Z1, 35P2
17feb, 14J2, 11C3, 43T0, 74L3, 13X1, 41O1, 64Z1, 25P2f
18feb, 26P1f, 31X2, 11T3f, 73J0, 41O1, 44C2, 34Z1, 43L2
19feb, 26P1f, 11T3f, 31X2, 73J0, 41O1, 34Z1, 43L2, 44C0
20feb, 26P1f, 11T3f, 31X2, 41O1, 53L1, 34Z1, 64C2, 43J0f
21feb, 26P1f, 11T3f, 31X2, 41O1, 53L1, 34Z1, 64C0, 43J0f
22feb, 31X2, 11T3f, 73J0, 41O1, 55Z1, 15C2, 43L2, 34P3f
23feb, 11T3f, 31X2, 73J0, 41O1, 55Z1, 43L2, 34P3f, 15C0
24feb, 13X0f, 11C3, 55T2f, 41O1, 23Z0, 54P1, 15L0, 43J1f
25feb, 11C3, 43P1, 73J0, 13X1, 41O1, 14Z0, 15L0, 35T0f
